location,technology,time_step,availability
BEL,SunPV,1,0
BEL,SunPV,2,0
BEL,SunPV,3,0
BEL,SunPV,4,0
BEL,SunPV,5,0
BEL,SunPV,6,0
BEL,SunPV,7,0
BEL,SunPV,8,0
BEL,SunPV,9,0.025
BEL,SunPV,10,0.178
BEL,SunPV,11,0.267
BEL,SunPV,12,0.361
BEL,SunPV,13,0.368
BEL,SunPV,14,0.279
BEL,SunPV,15,0.155
BEL,SunPV,16,0.032
BEL,SunPV,17,0
BEL,SunPV,18,0
BEL,SunPV,19,0
BEL,SunPV,20,0
BEL,SunPV,21,0
BEL,SunPV,22,0
BEL,SunPV,23,0
BEL,SunPV,24,0
BEL,SunPV,25,0
BEL,SunPV,26,0
BEL,SunPV,27,0
BEL,SunPV,28,0
BEL,SunPV,29,0
BEL,SunPV,30,0
BEL,SunPV,31,0
BEL,SunPV,32,0
BEL,SunPV,33,0.001
BEL,SunPV,34,0.033
BEL,SunPV,35,0.076
BEL,SunPV,36,0.145
BEL,SunPV,37,0.206
BEL,SunPV,38,0.246
BEL,SunPV,39,0.214
BEL,SunPV,40,0.067
BEL,SunPV,41,0
BEL,SunPV,42,0
BEL,SunPV,43,0
BEL,SunPV,44,0
BEL,SunPV,45,0
BEL,SunPV,46,0
BEL,SunPV,47,0
BEL,SunPV,48,0
BEL,SunPV,49,0
BEL,SunPV,50,0
BEL,SunPV,51,0
BEL,SunPV,52,0
BEL,SunPV,53,0
BEL,SunPV,54,0
BEL,SunPV,55,0
BEL,SunPV,56,0
BEL,SunPV,57,0.001
BEL,SunPV,58,0.016
BEL,SunPV,59,0.032
BEL,SunPV,60,0.052
BEL,SunPV,61,0.056
BEL,SunPV,62,0.048
BEL,SunPV,63,0.027
BEL,SunPV,64,0.004
BEL,SunPV,65,0
BEL,SunPV,66,0
BEL,SunPV,67,0
BEL,SunPV,68,0
BEL,SunPV,69,0
BEL,SunPV,70,0
BEL,SunPV,71,0
BEL,SunPV,72,0
BEL,SunPV,73,0
BEL,SunPV,74,0
BEL,SunPV,75,0
BEL,SunPV,76,0
BEL,SunPV,77,0
BEL,SunPV,78,0
BEL,SunPV,79,0
BEL,SunPV,80,0
BEL,SunPV,81,0.013
BEL,SunPV,82,0.119
BEL,SunPV,83,0.192
BEL,SunPV,84,0.236
BEL,SunPV,85,0.264
BEL,SunPV,86,0.272
BEL,SunPV,87,0.203
BEL,SunPV,88,0.052
BEL,SunPV,89,0
BEL,SunPV,90,0
BEL,SunPV,91,0
BEL,SunPV,92,0
BEL,SunPV,93,0
BEL,SunPV,94,0
BEL,SunPV,95,0
BEL,SunPV,96,0
BEL,SunPV,97,0
BEL,SunPV,98,0
BEL,SunPV,99,0
BEL,SunPV,100,0
BEL,SunPV,101,0
BEL,SunPV,102,0
BEL,SunPV,103,0
BEL,SunPV,104,0
BEL,SunPV,105,0.03
BEL,SunPV,106,0.171
BEL,SunPV,107,0.254
BEL,SunPV,108,0.342
BEL,SunPV,109,0.338
BEL,SunPV,110,0.274
BEL,SunPV,111,0.173
BEL,SunPV,112,0.044
BEL,SunPV,113,0
BEL,SunPV,114,0
BEL,SunPV,115,0
BEL,SunPV,116,0
BEL,SunPV,117,0
BEL,SunPV,118,0
BEL,SunPV,119,0
BEL,SunPV,120,0
BEL,SunPV,121,0
BEL,SunPV,122,0
BEL,SunPV,123,0
BEL,SunPV,124,0
BEL,SunPV,125,0
BEL,SunPV,126,0
BEL,SunPV,127,0
BEL,SunPV,128,0
BEL,SunPV,129,0.021
BEL,SunPV,130,0.137
BEL,SunPV,131,0.228
BEL,SunPV,132,0.273
BEL,SunPV,133,0.248
BEL,SunPV,134,0.17
BEL,SunPV,135,0.082
BEL,SunPV,136,0.011
BEL,SunPV,137,0
BEL,SunPV,138,0
BEL,SunPV,139,0
BEL,SunPV,140,0
BEL,SunPV,141,0
BEL,SunPV,142,0
BEL,SunPV,143,0
BEL,SunPV,144,0
BEL,SunPV,145,0
BEL,SunPV,146,0
BEL,SunPV,147,0
BEL,SunPV,148,0
BEL,SunPV,149,0
BEL,SunPV,150,0
BEL,SunPV,151,0
BEL,SunPV,152,0
BEL,SunPV,153,0.023
BEL,SunPV,154,0.144
BEL,SunPV,155,0.194
BEL,SunPV,156,0.246
BEL,SunPV,157,0.213
BEL,SunPV,158,0.17
BEL,SunPV,159,0.107
BEL,SunPV,160,0.017
BEL,SunPV,161,0
BEL,SunPV,162,0
BEL,SunPV,163,0
BEL,SunPV,164,0
BEL,SunPV,165,0
BEL,SunPV,166,0
BEL,SunPV,167,0
BEL,SunPV,168,0
BEL,SunPV,169,0
BEL,SunPV,170,0
BEL,SunPV,171,0
BEL,SunPV,172,0
BEL,SunPV,173,0
BEL,SunPV,174,0
BEL,SunPV,175,0
BEL,SunPV,176,0
BEL,SunPV,177,0.001
BEL,SunPV,178,0.021
BEL,SunPV,179,0.034
BEL,SunPV,180,0.044
BEL,SunPV,181,0.049
BEL,SunPV,182,0.036
BEL,SunPV,183,0.018
BEL,SunPV,184,0.004
BEL,SunPV,185,0
BEL,SunPV,186,0
BEL,SunPV,187,0
BEL,SunPV,188,0
BEL,SunPV,189,0
BEL,SunPV,190,0
BEL,SunPV,191,0
BEL,SunPV,192,0
BEL,SunPV,193,0
BEL,SunPV,194,0
BEL,SunPV,195,0
BEL,SunPV,196,0
BEL,SunPV,197,0
BEL,SunPV,198,0
BEL,SunPV,199,0
BEL,SunPV,200,0
BEL,SunPV,201,0.004
BEL,SunPV,202,0.024
BEL,SunPV,203,0.032
BEL,SunPV,204,0.041
BEL,SunPV,205,0.044
BEL,SunPV,206,0.057
BEL,SunPV,207,0.045
BEL,SunPV,208,0.012
BEL,SunPV,209,0
BEL,SunPV,210,0
BEL,SunPV,211,0
BEL,SunPV,212,0
BEL,SunPV,213,0
BEL,SunPV,214,0
BEL,SunPV,215,0
BEL,SunPV,216,0
BEL,SunPV,217,0
BEL,SunPV,218,0
BEL,SunPV,219,0
BEL,SunPV,220,0
BEL,SunPV,221,0
BEL,SunPV,222,0
BEL,SunPV,223,0
BEL,SunPV,224,0
BEL,SunPV,225,0.008
BEL,SunPV,226,0.026
BEL,SunPV,227,0.041
BEL,SunPV,228,0.048
BEL,SunPV,229,0.049
BEL,SunPV,230,0.046
BEL,SunPV,231,0.034
BEL,SunPV,232,0.009
BEL,SunPV,233,0
BEL,SunPV,234,0
BEL,SunPV,235,0
BEL,SunPV,236,0
BEL,SunPV,237,0
BEL,SunPV,238,0
BEL,SunPV,239,0
BEL,SunPV,240,0
BEL,SunPV,241,0
BEL,SunPV,242,0
BEL,SunPV,243,0
BEL,SunPV,244,0
BEL,SunPV,245,0
BEL,SunPV,246,0
BEL,SunPV,247,0
BEL,SunPV,248,0
BEL,SunPV,249,0.016
BEL,SunPV,250,0.095
BEL,SunPV,251,0.143
BEL,SunPV,252,0.188
BEL,SunPV,253,0.172
BEL,SunPV,254,0.138
BEL,SunPV,255,0.109
BEL,SunPV,256,0.038
BEL,SunPV,257,0
BEL,SunPV,258,0
BEL,SunPV,259,0
BEL,SunPV,260,0
BEL,SunPV,261,0
BEL,SunPV,262,0
BEL,SunPV,263,0
BEL,SunPV,264,0
BEL,SunPV,265,0
BEL,SunPV,266,0
BEL,SunPV,267,0
BEL,SunPV,268,0
BEL,SunPV,269,0
BEL,SunPV,270,0
BEL,SunPV,271,0
BEL,SunPV,272,0
BEL,SunPV,273,0.002
BEL,SunPV,274,0.016
BEL,SunPV,275,0.021
BEL,SunPV,276,0.03
BEL,SunPV,277,0.044
BEL,SunPV,278,0.042
BEL,SunPV,279,0.036
BEL,SunPV,280,0.01
BEL,SunPV,281,0
BEL,SunPV,282,0
BEL,SunPV,283,0
BEL,SunPV,284,0
BEL,SunPV,285,0
BEL,SunPV,286,0
BEL,SunPV,287,0
BEL,SunPV,288,0
BEL,SunPV,289,0
BEL,SunPV,290,0
BEL,SunPV,291,0
BEL,SunPV,292,0
BEL,SunPV,293,0
BEL,SunPV,294,0
BEL,SunPV,295,0
BEL,SunPV,296,0
BEL,SunPV,297,0.043
BEL,SunPV,298,0.089
BEL,SunPV,299,0.14
BEL,SunPV,300,0.121
BEL,SunPV,301,0.065
BEL,SunPV,302,0.067
BEL,SunPV,303,0.045
BEL,SunPV,304,0.022
BEL,SunPV,305,0
BEL,SunPV,306,0
BEL,SunPV,307,0
BEL,SunPV,308,0
BEL,SunPV,309,0
BEL,SunPV,310,0
BEL,SunPV,311,0
BEL,SunPV,312,0
BEL,SunPV,313,0
BEL,SunPV,314,0
BEL,SunPV,315,0
BEL,SunPV,316,0
BEL,SunPV,317,0
BEL,SunPV,318,0
BEL,SunPV,319,0
BEL,SunPV,320,0
BEL,SunPV,321,0.031
BEL,SunPV,322,0.057
BEL,SunPV,323,0.073
BEL,SunPV,324,0.148
BEL,SunPV,325,0.178
BEL,SunPV,326,0.237
BEL,SunPV,327,0.145
BEL,SunPV,328,0.066
BEL,SunPV,329,0
