location,time_step,loss_of_load
NED,423,140.60547999998198
NED,424,4359.463209999995
NED,425,6741.55599
NED,426,8412.04467
NED,427,8501.02405
NED,428,7638.270439999999
NED,429,7084.620950000001
NED,430,7872.532279999999
NED,431,8564.64258
NED,432,7660.01886
NED,433,6291.219879999999
NED,434,2924.8848199999993
NED,435,351.9982199999995
NED,440,3130.03435
NED,441,3895.583849999981
NED,442,1129.6879799999397
NED,443,2334.5323099999314
NED,444,4807.810669999923
NED,445,8367.232309999934
NED,446,9925.394169999949
NED,447,12183.165299999968
NED,448,12362.726129999988
NED,449,13462.8086
BEL,450,223.60354000000007
NED,450,16671.35397
BEL,451,467.10792199999923
NED,451,16191.85397
NED,452,15719.274580000001
NED,453,11491.075599999998
NED,454,9825.678679999999
NED,455,7585.17867
NED,456,6140.10443
NED,457,4749.406480000001
NED,458,3951.8054500000007
NED,459,2843.0734899999998
NED,460,1337.2961699999996
NED,461,188.27657999999974
NED,462,58.119880000000194
NED,463,1383.9126799999995
NED,464,3820.7611599999964
NED,465,5400.654989999995
NED,466,5176.012729999977
NED,467,5363.378709999972
NED,468,3189.1158199999472
NED,469,254.47560999992857
NED,472,421.3529299999791
NED,535,1053.05804
NED,536,2440.642610000001
NED,537,2154.7209699999858
NED,538,351.3034499999576
NED,539,151.39623999995456
NED,839,1409.9145400000016
NED,840,925.1977800000004
NED,975,128.13318999998774
NED,976,2663.8968699999896
NED,977,4946.56271
NED,978,6749.984970000001
NED,979,7990.8533
NED,980,7178.433519999999
NED,981,3996.5529499999993
NED,998,974.2898799999784
NED,999,4927.478649999979
NED,1000,7899.490209999981
NED,1001,11771.181139999995
NED,1002,13429.764729999999
BEL,1003,83.82328199999938
NED,1003,12505.021490000001
NED,1004,12020.590409999999
NED,1005,10519.330219999998
NED,1006,9608.79753
NED,1007,8551.94688
NED,1008,8382.41419
NED,1009,7602.381299999999
NED,1010,7095.21162
NED,1011,6857.939259999999
NED,1012,6028.95076
NED,1013,4904.64612
NED,1014,3893.18869
NED,1015,3577.825419999999
NED,1016,5099.728799999999
NED,1017,4818.96794999998
NED,1018,3358.7853699999605
NED,1019,1034.6238399999438
NED,1216,2536.7791799999886
NED,1217,1929.579179999997
NED,1218,3181.0356699999993
NED,1219,5230.178779999997
NED,1220,5580.620410000001
NED,1221,6100.821540000001
NED,1222,1967.36175
BEL,1339,28.124822000001586
NED,1339,3251.931699999999
NED,1340,4676.5432699999965
NED,1341,2662.5148800000006
NED,1615,4288.128940000001
NED,1616,6099.26479999997
NED,1662,1689.9415200000003
NED,1663,2402.9038599999985
NED,1804,46.010630000000674
NED,1805,2922.0696800000014
NED,1806,3371.542910000001
NED,1807,1461.7380099999882
NED,1885,265.5890699999336
NED,1986,2955.6042799999886
