location,time_step,demand
l1,1,100
l1,2,100
l1,3,100
l1,4,100
l1,5,100
l1,6,100
l1,7,100
l1,8,100
l1,9,100
l1,10,100
l2,1,100
l2,2,100
l2,3,100
l2,4,100
l2,5,100
l2,6,100
l2,7,100
l2,8,100
l2,9,100
l2,10,100
l3,1,100
l3,2,100
l3,3,100
l3,4,100
l3,5,100
l3,6,100
l3,7,100
l3,8,100
l3,9,100
l3,10,100
l4,1,100
l4,2,100
l4,3,100
l4,4,100
l4,5,100
l4,6,100
l4,7,100
l4,8,100
l4,9,100
l4,10,100
l5,1,100
l5,2,100
l5,3,100
l5,4,100
l5,5,100
l5,6,100
l5,7,100
l5,8,100
l5,9,100
l5,10,100
l6,1,100
l6,2,100
l6,3,100
l6,4,100
l6,5,100
l6,6,100
l6,7,100
l6,8,100
l6,9,100
l6,10,100
l7,1,100
l7,2,100
l7,3,100
l7,4,100
l7,5,100
l7,6,100
l7,7,100
l7,8,100
l7,9,100
l7,10,100
l8,1,100
l8,2,100
l8,3,100
l8,4,100
l8,5,100
l8,6,100
l8,7,100
l8,8,100
l8,9,100
l8,10,100
l9,1,100
l9,2,100
l9,3,100
l9,4,100
l9,5,100
l9,6,100
l9,7,100
l9,8,100
l9,9,100
l9,10,100
l10,1,100
l10,2,100
l10,3,100
l10,4,100
l10,5,100
l10,6,100
l10,7,100
l10,8,100
l10,9,100
l10,10,100
l11,1,100
l11,2,100
l11,3,100
l11,4,100
l11,5,100
l11,6,100
l11,7,100
l11,8,100
l11,9,100
l11,10,100
l12,1,100
l12,2,100
l12,3,100
l12,4,100
l12,5,100
l12,6,100
l12,7,100
l12,8,100
l12,9,100
l12,10,100
l13,1,100
l13,2,100
l13,3,100
l13,4,100
l13,5,100
l13,6,100
l13,7,100
l13,8,100
l13,9,100
l13,10,100
l14,1,100
l14,2,100
l14,3,100
l14,4,100
l14,5,100
l14,6,100
l14,7,100
l14,8,100
l14,9,100
l14,10,100
l15,1,100
l15,2,100
l15,3,100
l15,4,100
l15,5,100
l15,6,100
l15,7,100
l15,8,100
l15,9,100
l15,10,100
l16,1,100
l16,2,100
l16,3,100
l16,4,100
l16,5,100
l16,6,100
l16,7,100
l16,8,100
l16,9,100
l16,10,100
