from,to,export_capacity,import_capacity
BEL,NED,4000,4000
BEL,GER,2000,2000
BEL,FRA,2000,2000
BEL,SPA,1000,1000
BEL,ITA,1000,1000
BEL,UKI,1000,1000
BEL,LUX,1000,1000
NED,GER,2000,2000
NED,FRA,2000,2000
NED,SPA,1000,1000
NED,ITA,1000,1000
NED,UKI,1000,1000
NED,LUX,1000,1000
GER,FRA,4000,4000
GER,SPA,1000,1000
GER,ITA,1000,1000
GER,UKI,1000,1000
GER,LUX,1000,1000
FRA,SPA,1000,1000
FRA,ITA,1000,1000
FRA,UKI,1000,1000
FRA,LUX,1000,1000
SPA,ITA,4000,4000
SPA,UKI,2000,2000
SPA,LUX,2000,2000
ITA,UKI,2000,2000
ITA,LUX,2000,2000
UKI,LUX,4000,4000
