from,to,time_step,flow
BEL,NED,2,1350.0
BEL,NED,4,3600.0
BEL,NED,5,3350.0
BEL,NED,6,4000.0
BEL,NED,8,1600.0
BEL,NED,9,3950.0
BEL,GER,1,2000.0
BEL,GER,2,550.0
BEL,GER,3,2000.0
BEL,GER,4,100.0
BEL,GER,5,2000.0
BEL,GER,6,1750.0
BEL,GER,7,1950.0
BEL,GER,8,2000.0
BEL,GER,10,2000.0
BEL,FRA,1,2000.0
BEL,FRA,2,2000.0
BEL,FRA,3,2000.0
BEL,FRA,4,2000.0
BEL,FRA,5,550.0
BEL,FRA,7,2000.0
BEL,FRA,8,300.0
BEL,FRA,10,400.0
BEL,SPA,1,1000.0
BEL,SPA,2,1000.0
BEL,SPA,4,1000.0
BEL,SPA,8,1000.0
BEL,SPA,9,1000.0
BEL,ITA,5,1000.0
BEL,ITA,6,1000.0
BEL,ITA,7,1000.0
BEL,ITA,8,1000.0
BEL,ITA,10,1000.0
BEL,UKI,1,1000.0
BEL,UKI,2,1000.0
BEL,UKI,3,1000.0
BEL,UKI,4,100.0
BEL,UKI,8,1000.0
BEL,UKI,9,1000.0
BEL,LUX,2,1000.0
BEL,LUX,5,1000.0
BEL,LUX,6,200.0
BEL,LUX,7,1000.0
BEL,LUX,10,1000.0
NED,BEL,1,4000.0
NED,BEL,2,4000.0
NED,BEL,3,650.0
NED,BEL,4,4000.0
NED,BEL,5,4000.0
NED,BEL,7,4000.0
NED,BEL,8,4000.0
NED,BEL,10,2500.0
NED,GER,3,2000.0
NED,GER,5,2000.0
NED,GER,6,2000.0
NED,GER,7,2000.0
NED,GER,8,2000.0
NED,GER,9,2000.0
NED,FRA,1,600.0
NED,FRA,2,2000.0
NED,FRA,4,250.0
NED,FRA,6,2000.0
NED,FRA,7,250.0
NED,FRA,9,2000.0
NED,FRA,10,2000.0
NED,SPA,1,1000.0
NED,SPA,2,1000.0
NED,SPA,3,1000.0
NED,SPA,4,1000.0
NED,SPA,9,1000.0
NED,ITA,5,1000.0
NED,ITA,6,1000.0
NED,ITA,7,300.0
NED,ITA,8,300.0
NED,UKI,1,1000.0
NED,UKI,3,1000.0
NED,UKI,4,1000.0
NED,UKI,6,1000.0
NED,UKI,8,1000.0
NED,UKI,9,1000.0
NED,LUX,4,1000.0
NED,LUX,5,1000.0
NED,LUX,6,1000.0
NED,LUX,10,1000.0
GER,BEL,2,2000.0
GER,BEL,6,2000.0
