location,time_step,demand
BEL,1,100
BEL,2,100
BEL,3,100
BEL,4,100
BEL,5,100
BEL,6,100
BEL,7,100
BEL,8,100
BEL,9,100
BEL,10,100
NED,1,100
NED,2,100
NED,3,100
NED,4,100
NED,5,100
NED,6,100
NED,7,100
NED,8,100
NED,9,100
NED,10,100
GER,1,100
GER,2,100
GER,3,100
GER,4,100
GER,5,100
GER,6,100
GER,7,100
GER,8,100
GER,9,100
GER,10,100
FRA,1,100
FRA,2,100
FRA,3,100
FRA,4,100
FRA,5,100
FRA,6,100
FRA,7,100
FRA,8,100
FRA,9,100
FRA,10,100
SPA,1,100
SPA,2,100
SPA,3,100
SPA,4,100
SPA,5,100
SPA,6,100
SPA,7,100
SPA,8,100
SPA,9,100
SPA,10,100
ITA,1,100
ITA,2,100
ITA,3,100
ITA,4,100
ITA,5,100
ITA,6,100
ITA,7,100
ITA,8,100
ITA,9,100
ITA,10,100
UKI,1,100
UKI,2,100
UKI,3,100
UKI,4,100
UKI,5,100
UKI,6,100
UKI,7,100
UKI,8,100
UKI,9,100
UKI,10,100
LUX,1,100
LUX,2,100
LUX,3,100
LUX,4,100
LUX,5,100
LUX,6,100
LUX,7,100
LUX,8,100
LUX,9,100
LUX,10,100
