from,to,time_step,flow
BEL,NED,1,650.0
BEL,NED,2,4000.0
BEL,NED,3,4000.0
BEL,NED,4,650.0
BEL,NED,5,650.0
BEL,NED,6,650.0
BEL,NED,7,650.0
BEL,NED,8,650.0
BEL,NED,9,650.0
BEL,NED,10,4000.0
NED,BEL,2,3350.0
NED,BEL,3,3350.0
NED,BEL,10,3350.0
NED,GER,1,2000.0
NED,GER,2,2000.0
NED,GER,3,2000.0
NED,GER,4,550.0
NED,GER,5,550.0
NED,GER,6,2000.0
NED,GER,7,2000.0
NED,GER,8,2000.0
NED,GER,9,550.0
NED,GER,10,550.0
GER,NED,1,1450.0
GER,NED,2,1450.0
GER,NED,3,1450.0
GER,NED,6,1450.0
GER,NED,7,1450.0
GER,NED,8,1450.0
GER,FRA,1,4000.0
GER,FRA,2,450.0
GER,FRA,3,4000.0
GER,FRA,4,4000.0
GER,FRA,5,4000.0
GER,FRA,6,450.0
GER,FRA,7,450.0
GER,FRA,8,4000.0
GER,FRA,9,450.0
GER,FRA,10,450.0
FRA,GER,1,3550.0
FRA,GER,3,3550.0
FRA,GER,4,3550.0
FRA,GER,5,3550.0
FRA,GER,8,3550.0
FRA,SPA,1,350.0
FRA,SPA,2,350.0
FRA,SPA,3,350.0
FRA,SPA,4,1000.0
FRA,SPA,5,350.0
FRA,SPA,6,350.0
FRA,SPA,7,1000.0
FRA,SPA,8,350.0
FRA,SPA,9,350.0
FRA,SPA,10,1000.0
SPA,FRA,4,650.0
SPA,FRA,7,650.0
SPA,FRA,10,650.0
SPA,ITA,1,4000.0
SPA,ITA,2,4000.0
SPA,ITA,3,4000.0
SPA,ITA,4,4000.0
SPA,ITA,5,4000.0
SPA,ITA,6,4000.0
SPA,ITA,7,250.0
SPA,ITA,8,4000.0
SPA,ITA,9,4000.0
SPA,ITA,10,4000.0
ITA,SPA,1,3750.0
ITA,SPA,2,3750.0
ITA,SPA,3,3750.0
ITA,SPA,4,3700.0
ITA,SPA,5,3700.0
ITA,SPA,6,3750.0
ITA,SPA,8,3750.0
ITA,SPA,9,3750.0
ITA,SPA,10,3750.0
ITA,UKI,1,150.0
ITA,UKI,2,2000.0
ITA,UKI,3,200.0
ITA,UKI,4,200.0
ITA,UKI,5,200.0
ITA,UKI,6,2000.0
ITA,UKI,7,150.0
ITA,UKI,8,2000.0
ITA,UKI,9,2000.0
ITA,UKI,10,2000.0
UKI,ITA,2,1850.0
UKI,ITA,6,1800.0
UKI,ITA,8,1800.0
UKI,ITA,9,1800.0
UKI,ITA,10,1850.0
UKI,LUX,1,4000.0
UKI,LUX,2,4000.0
UKI,LUX,3,100.0
UKI,LUX,4,100.0
UKI,LUX,5,100.0
UKI,LUX,6,100.0
UKI,LUX,7,50.0
UKI,LUX,8,4000.0
UKI,LUX,9,4000.0
UKI,LUX,10,50.0
LUX,UKI,1,3900.0
LUX,UKI,2,3950.0
LUX,UKI,8,3900.0
LUX,UKI,9,3900.0
