from,to,capacity
l0,l1,4000
l0,l2,4000
l0,l3,4000
l1,l0,4000
l1,l2,4000
l1,l3,4000
l2,l0,4000
l2,l1,4000
l2,l3,4000
l3,l0,4000
l3,l1,4000
l3,l2,4000
l4,l5,4000
l4,l6,4000
l4,l7,4000
l5,l4,4000
l5,l6,4000
l5,l7,4000
l6,l4,4000
l6,l5,4000
l6,l7,4000
l7,l4,4000
l7,l5,4000
l7,l6,4000
l8,l9,4000
l8,l10,4000
l8,l11,4000
l9,l8,4000
l9,l10,4000
l9,l11,4000
l10,l8,4000
l10,l9,4000
l10,l11,4000
l11,l8,4000
l11,l9,4000
l11,l10,4000
l12,l13,4000
l12,l14,4000
l12,l15,4000
l13,l12,4000
l13,l14,4000
l13,l15,4000
l14,l12,4000
l14,l13,4000
l14,l15,4000
l15,l12,4000
l15,l13,4000
l15,l14,4000
l0,l4,2000
l0,l8,2000
l0,l12,2000
l4,l0,2000
l4,l8,2000
l4,l12,2000
l8,l0,2000
l8,l4,2000
l8,l12,2000
l12,l0,2000
l12,l4,2000
l12,l8,2000
