from,to,time_step,flow
l0,l1,0,4000.0
l0,l1,1,4000.0
l0,l1,2,4000.0
l0,l1,3,2750.0
l0,l1,6,2750.0
l0,l1,7,2750.0
l0,l1,10,2000.0
l0,l1,12,2437.5
l0,l1,23,3000.0
l0,l1,26,2750.0
l0,l1,36,4000.0
l0,l1,38,562.5
l0,l1,47,3562.5
l0,l1,48,4000.0
l0,l1,49,2000.0
l0,l1,52,2750.0
l0,l1,53,3562.5
l0,l1,54,2062.5
l0,l1,55,3562.5
l0,l1,56,2062.5
l0,l1,59,4000.0
l0,l1,63,2062.5
l0,l1,64,2750.0
l0,l1,66,2750.0
l0,l1,67,250.0
l0,l1,71,562.5
l0,l1,73,2750.0
l0,l1,74,3562.5
l0,l1,75,4000.0
l0,l1,78,2000.0
l0,l1,80,4000.0
l0,l1,81,2750.0
l0,l1,82,3562.5
l0,l1,84,687.5
l0,l1,93,4000.0
l0,l1,94,2750.0
l0,l2,1,750.0
l0,l2,8,687.5
l0,l2,9,1187.5
l0,l2,11,3562.5
l0,l2,13,3000.0
l0,l2,16,1187.5
l0,l2,20,2750.0
l0,l2,22,1187.5
l0,l2,27,2750.0
l0,l2,28,1187.5
l0,l2,32,4000.0
l0,l2,33,4000.0
l0,l2,34,4000.0
l0,l2,35,4000.0
l0,l2,39,3500.0
l0,l2,41,687.5
l0,l2,42,2750.0
l0,l2,43,4000.0
l0,l2,45,687.5
l0,l2,51,2750.0
l0,l2,60,4000.0
l0,l2,67,2500.0
l0,l2,68,687.5
l0,l2,69,2750.0
l0,l2,79,2750.0
l0,l2,83,4000.0
l0,l2,85,2000.0
l0,l2,87,2000.0
l0,l2,89,1500.0
l0,l2,90,3562.5
l0,l2,91,1500.0
l0,l2,92,4000.0
l0,l2,95,2750.0
l0,l2,98,2750.0
l0,l2,99,4000.0
l0,l4,2,562.5
l0,l4,3,937.5
l0,l4,4,3000.0
l0,l4,5,3000.0
l0,l4,6,3000.0
l0,l4,7,937.5
l0,l4,8,2312.5
l0,l4,9,812.5
l0,l4,11,1500.0
l0,l4,14,3000.0
l0,l4,15,3000.0
l0,l4,16,1250.0
l0,l4,17,250.0
l0,l4,19,3000.0
l0,l4,20,3000.0
l0,l4,21,3000.0
l0,l4,22,1500.0
l0,l4,24,2500.0
