location,technology,time_step,production
l0,Gas,0,2750.0
l0,Gas,1,2750.0
l0,Gas,2,2750.0
l0,Gas,3,687.5
l0,Gas,4,2750.0
l0,Gas,5,2750.0
l0,Gas,6,2750.0
l0,Gas,7,687.5
l0,Gas,11,2062.5
l0,Gas,12,437.5
l0,Gas,13,2500.0
l0,Gas,14,437.5
l0,Gas,15,2500.0
l0,Gas,16,437.5
l0,Gas,19,687.5
l0,Gas,20,2750.0
l0,Gas,21,2750.0
l0,Gas,22,687.5
l0,Gas,23,1000.0
l0,Gas,24,1000.0
l0,Gas,25,687.5
l0,Gas,26,2750.0
l0,Gas,27,2750.0
l0,Gas,28,687.5
l0,Gas,29,2750.0
l0,Gas,30,2750.0
l0,Gas,31,1500.0
l0,Gas,32,687.5
l0,Gas,33,2750.0
l0,Gas,34,1000.0
l0,Gas,37,2062.5
l0,Gas,41,687.5
l0,Gas,42,2750.0
l0,Gas,43,1500.0
l0,Gas,44,2750.0
l0,Gas,45,687.5
l0,Gas,47,2062.5
l0,Gas,50,2062.5
l0,Gas,52,2062.5
l0,Gas,54,2062.5
l0,Gas,55,2750.0
l0,Gas,56,2062.5
l0,Gas,61,2062.5
l0,Gas,63,2062.5
l0,Gas,64,2750.0
l0,Gas,65,2750.0
l0,Gas,66,2750.0
l0,Gas,67,2750.0
l0,Gas,68,687.5
l0,Gas,69,2750.0
l0,Gas,70,2750.0
l0,Gas,71,687.5
l0,Gas,72,2750.0
l0,Gas,73,2750.0
l0,Gas,74,2062.5
l0,Gas,76,2062.5
l0,Gas,77,2750.0
l0,Gas,78,1500.0
l0,Gas,79,2750.0
l0,Gas,80,687.5
l0,Gas,81,2750.0
l0,Gas,82,687.5
l0,Gas,83,2750.0
l0,Gas,84,687.5
l0,Gas,85,2062.5
l0,Gas,87,1500.0
l0,Gas,89,1500.0
l0,Gas,90,2750.0
l0,Gas,91,1500.0
l0,Gas,92,2750.0
l0,Gas,93,2500.0
l0,Gas,94,2750.0
l0,Gas,95,687.5
l0,Gas,96,2750.0
l0,Gas,97,687.5
l0,Gas,98,2750.0
l0,Gas,99,2750.0
l1,Gas,1,3250.0
l1,Gas,2,812.5
l1,Gas,3,3250.0
l1,Gas,4,3250.0
l1,Gas,5,3250.0
l1,Gas,6,3250.0
l1,Gas,7,3250.0
l1,Gas,8,3250.0
l1,Gas,9,812.5
l1,Gas,12,562.5
l1,Gas,14,2437.5
l1,Gas,15,3250.0
l1,Gas,16,812.5
l1,Gas,17,3250.0
l1,Gas,18,812.5
l1,Gas,19,812.5
l1,Gas,20,3250.0
l1,Gas,21,812.5
l1,Gas,25,2437.5
l1,Gas,28,812.5
l1,Gas,29,2437.5
l1,Gas,35,2437.5
l1,Gas,38,2437.5
l1,Gas,42,1750.0
l1,Gas,44,2437.5
l1,Gas,47,2437.5
l1,Gas,50,2437.5
l1,Gas,51,3250.0
l1,Gas,52,3250.0
l1,Gas,53,2437.5
l1,Gas,55,2437.5
l1,Gas,57,2437.5
l1,Gas,63,2437.5
