location,time_step,demand
l1,1,4872.700594236812
l1,2,4653.635103924193
l1,3,4696.331187082441
l1,4,4337.255412057204
l1,5,4639.452392811244
l1,6,4214.003036491014
l1,7,4700.889973091532
l1,8,4973.134742388189
l1,9,4671.850423922361
l1,10,4177.372541045964
l1,11,4492.833969500798
l1,12,4699.691313348415
l1,13,4928.698481389402
l1,14,5199.968828075348
l1,15,4774.013479809439
l1,16,4632.479208353711
l1,17,4248.348267878841
l1,18,4611.451693754435
l1,19,4734.749820581993
l1,20,4565.6478454346425
l1,21,4129.206195720666
l1,22,3940.1885174363283
l1,23,3765.3718394630755
l1,24,3994.9780178011397
l1,25,4132.535489156353
l1,26,4519.748231732679
l1,27,4491.963156894629
l1,28,4111.55740283293
l1,29,4324.802190055925
l1,30,4585.587238672822
l1,31,4646.864436242318
l1,32,4917.83161619688
l1,33,4911.62721256127
l1,34,4934.360041943264
l1,35,4861.901060301814
l1,36,4387.32018704591
l1,37,3995.211614039214
l1,38,3526.6407997259485
l1,39,3663.051210989729
l1,40,3477.407192066056
l1,41,3485.9778832307584
l1,42,3893.544357156851
l1,43,3642.836586305726
l1,44,3553.2195093413557
l1,45,3808.7706478844043
l1,46,3537.568813376027
l1,47,3114.54872320482
l1,48,3000.0
l1,49,3000.0
l1,50,3429.697652342573
l1,51,3737.8180319069897
l1,52,3871.2217884174133
l1,53,4242.682378605131
l1,54,4546.354455504245
l1,55,4232.924514390281
l1,56,4625.483512880259
l1,57,4664.825754795909
l1,58,4972.265909959971
l1,59,5368.357209883465
l1,60,5186.360684855328
l1,61,4796.412609383005
l1,62,4524.347771924946
l1,63,4451.455560551202
l1,64,4769.470326473695
l1,65,5130.200909730039
l1,66,4637.15304026123
l1,67,4647.900342838795
l1,68,4565.311345987574
l1,69,4287.419156458304
l1,70,3907.2845237919873
l1,71,3744.899695195615
l1,72,4187.809399108134
l1,73,4011.0123311288894
l1,74,4029.8029528722554
l1,75,4232.821911767433
l1,76,4096.451514146727
l1,77,4568.233596867688
l1,78,5030.6808918097995
l1,79,4782.463187635163
l1,80,4779.711693527549
l1,81,4580.590003344319
l1,82,4365.430497721786
l1,83,3902.317445076319
l1,84,4011.881779056216
l1,85,4014.5608022850774
l1,86,3566.0395535350667
l1,87,3344.686017771678
l1,88,3752.9519037383316
l1,89,3492.513794405304
l1,90,3137.408666496527
l1,91,3126.86142677409
l1,92,3612.5118808846905
l1,93,3354.567152396191
l1,94,3526.7026998020697
l1,95,3788.3223151307875
l1,96,3525.959859123187
l1,97,3754.176207735047
l1,98,3621.9593404543
l1,99,3754.2651710478794
l1,100,3887.7948818087743
l1,101,3923.569565883533
l1,102,3513.859335937941
l1,103,3849.161831527179
l1,104,3669.941896498915
l1,105,3356.460406898769
l1,106,3000.0
l1,107,3090.8929431882416
l1,108,3268.457305030524
l1,109,3000.0
l1,110,3012.093058299281
l1,111,3000.0
l1,112,3145.1727904094496
l1,113,3000.0
l1,114,3190.937738102466
l1,115,3077.6730844030035
l1,116,3514.403073139738
l1,117,3151.924017285731
l1,118,3000.0
l1,119,3000.0
l1,120,3424.693618278563
l1,121,3802.0329716595443
l1,122,3559.9745993747
l1,123,3719.9586454088794
l1,124,4037.1808456100953
l1,125,4092.3816572095575
l1,126,4122.032235565564
l1,127,3863.8845264660163
l1,128,3456.9872942719153
l1,129,3854.203052225242
l1,130,4254.621109388572
l1,131,4387.72256666184
l1,132,4226.75235771054
l1,133,4075.9619323232014
l1,134,4301.917611193441
l1,135,4699.027871146018
l1,136,5086.114295411135
l1,137,5365.989841268758
l1,138,5508.021487423046
l1,139,5092.161452418095
l1,140,4753.790166512708
l1,141,5152.344355039788
l1,142,5258.773414699378
l1,143,4767.970466316007
l1,144,4369.442009182039
l1,145,4532.943778290095
l1,146,4038.0053621363136
l1,147,3698.813413553812
l1,148,3747.5472029203984
l1,149,3939.4424006130916
l1,150,4091.403660115692
l1,151,3815.672969576252
l1,152,4027.852190923788
l1,153,3765.1012784205877
l1,154,3590.5009765798554
l1,155,3836.9923816978794
l1,156,3986.625280745094
l1,157,4335.848691239272
l1,158,4493.461583539615
l1,159,4561.770186875086
l1,160,4155.444954703179
l1,161,4023.160757762613
l1,162,3788.363125444338
l1,163,3532.3527688234217
l1,164,4005.363323575867
l1,165,3898.4610482426274
l1,166,4290.507603419741
l1,167,4421.646229417004
l1,168,4716.457532958652
l1,169,4719.094626063845
l1,170,4795.998510690204
l1,171,4788.516204509068
l1,172,4483.759192307113
l1,173,4706.211307568618
l1,174,4486.983670009474
l1,175,4011.2996364409278
l1,176,4156.771932348096
l1,177,3833.882611755145
l1,178,4274.341196108059
l1,179,4728.269773110646
l1,180,5143.134163331095
l1,181,5013.292863586539
l1,182,4528.749480115406
l1,183,4957.068042703131
l1,184,4885.252191020445
l1,185,5351.907010064115
l1,186,5815.526987153367
l1,187,6168.536442620727
l1,188,5962.985334690313
l1,189,5848.083063292238
l1,190,6199.219734809095
l1,191,6016.141739965373
l1,192,5685.6344866514655
l1,193,5742.435749109815
l1,194,6178.590523270596
l1,195,6374.6203199455695
l1,196,6444.6814900349345
l1,197,6041.857983805703
l1,198,6156.865210504873
l1,199,6646.919060609136
l1,200,6287.00307584566
l1,201,6305.332728209396
l1,202,6682.705800137352
l1,203,6923.474417891556
l1,204,7120.490158886824
l1,205,7322.974242873934
l1,206,7182.465394093689
l1,207,6976.057238358182
l1,208,7285.418393836696
l1,209,7595.5317885158765
l1,210,7962.60410709598
l1,211,8000.0
l1,212,8000.0
l1,213,8000.0
l1,214,8000.0
l1,215,8000.0
l1,216,8000.0
l1,217,8000.0
l1,218,8000.0
l1,219,7837.995156851536
l1,220,7713.57810949148
l1,221,7307.560049332349
l1,222,7385.840190328523
l1,223,6921.7824641252655
l1,224,6887.380482257726
l1,225,6930.025116965302
l1,226,6716.566369093586
l1,227,6807.399629662597
l1,228,6337.899879601647
l1,229,5875.248068350861
l1,230,6197.848629010519
l1,231,6058.039270421782
l1,232,5685.099783073667
l1,233,5707.343043128471
l1,234,5977.336596227082
l1,235,5693.157623723925
l1,236,5816.048099542925
l1,237,5401.395564536693
l1,238,4953.077285705301
l1,239,4984.431917273449
l1,240,5025.067038883555
l1,241,5162.496940381761
l1,242,5388.588274104422
l1,243,5864.440353566957
l1,244,5880.740701868152
l1,245,5703.697174809398
l1,246,5998.883369578102
l1,247,5769.715620840177
l1,248,5708.6870415458125
l1,249,5287.143422888078
l1,250,4812.494166303535
l1,251,5275.14258098146
l1,252,5611.122701493666
l1,253,5807.096907587364
l1,254,5716.049852001634
l1,255,5389.3441720724795
l1,256,5045.781214743565
l1,257,4796.0241129081605
l1,258,4845.250777614281
l1,259,5059.846700314343
l1,260,5220.044077032075
l1,261,4999.977973978018
l1,262,5454.843254641212
l1,263,5692.740171336981
l1,264,5747.094223848381
l1,265,5858.814970082733
l1,266,5778.415032510524
l1,267,5526.146022011681
l1,268,5382.118700662943
l1,269,5639.964811127313
l1,270,5154.358299757068
l1,271,4770.430940263985
l1,272,4316.433582285737
l1,273,3857.1623846047078
l1,274,4212.622968615715
l1,275,4416.280827995739
l1,276,4390.454657083064
l1,277,3988.288817734066
l1,278,3979.9046928508983
l1,279,3953.376463631464
l1,280,3626.578333541479
l1,281,3560.429982779452
l1,282,3458.9347171768254
l1,283,3574.7848152290417
l1,284,3709.8784660966853
l1,285,3255.18247586873
l1,286,3129.7950904952013
l1,287,3255.6550062094375
l1,288,3258.791264789525
l1,289,3615.2811059778473
l1,290,3773.9747375967922
l1,291,3436.9091646782217
l1,292,3007.4779120786516
l1,293,3149.897190284967
l1,294,3000.0
l1,295,3085.775581273463
l1,296,3526.0058226984206
