technology,location,investment_cost,variable_cost,unit_capacity,ramping_rate
Gas,l1,1.3318110730593606,0.05,250,0.75
Gas,l2,1.3318110730593606,0.05,250,0.75
Gas,l3,1.3318110730593606,0.05,250,0.75
Gas,l4,1.3318110730593606,0.05,250,0.75
Gas,l5,1.3318110730593606,0.05,250,0.75
Gas,l6,1.3318110730593606,0.05,250,0.75
Gas,l7,1.3318110730593606,0.05,250,0.75
Gas,l8,1.3318110730593606,0.05,250,0.75
Gas,l9,1.3318110730593606,0.05,250,0.75
Gas,l10,1.3318110730593606,0.05,250,0.75
Gas,l11,1.3318110730593606,0.05,250,0.75
Gas,l12,1.3318110730593606,0.05,250,0.75
Gas,l13,1.3318110730593606,0.05,250,0.75
Gas,l14,1.3318110730593606,0.05,250,0.75
Gas,l15,1.3318110730593606,0.05,250,0.75
Gas,l16,1.3318110730593606,0.05,250,0.75
Gas,l17,1.3318110730593606,0.05,250,0.75
Gas,l18,1.3318110730593606,0.05,250,0.75
Gas,l19,1.3318110730593606,0.05,250,0.75
Gas,l20,1.3318110730593606,0.05,250,0.75
Gas,l21,1.3318110730593606,0.05,250,0.75
Gas,l22,1.3318110730593606,0.05,250,0.75
Gas,l23,1.3318110730593606,0.05,250,0.75
Gas,l24,1.3318110730593606,0.05,250,0.75
Gas,l25,1.3318110730593606,0.05,250,0.75
Gas,l26,1.3318110730593606,0.05,250,0.75
Gas,l27,1.3318110730593606,0.05,250,0.75
Gas,l28,1.3318110730593606,0.05,250,0.75
Gas,l29,1.3318110730593606,0.05,250,0.75
Gas,l30,1.3318110730593606,0.05,250,0.75
Gas,l31,1.3318110730593606,0.05,250,0.75
Gas,l32,1.3318110730593606,0.05,250,0.75
Gas,l33,1.3318110730593606,0.05,250,0.75
Gas,l34,1.3318110730593606,0.05,250,0.75
Gas,l35,1.3318110730593606,0.05,250,0.75
Gas,l36,1.3318110730593606,0.05,250,0.75
Gas,l37,1.3318110730593606,0.05,250,0.75
Gas,l38,1.3318110730593606,0.05,250,0.75
Gas,l39,1.3318110730593606,0.05,250,0.75
Gas,l40,1.3318110730593606,0.05,250,0.75
Gas,l41,1.3318110730593606,0.05,250,0.75
Gas,l42,1.3318110730593606,0.05,250,0.75
Gas,l43,1.3318110730593606,0.05,250,0.75
Gas,l44,1.3318110730593606,0.05,250,0.75
Gas,l45,1.3318110730593606,0.05,250,0.75
Gas,l46,1.3318110730593606,0.05,250,0.75
Gas,l47,1.3318110730593606,0.05,250,0.75
Gas,l48,1.3318110730593606,0.05,250,0.75
Gas,l49,1.3318110730593606,0.05,250,0.75
Gas,l50,1.3318110730593606,0.05,250,0.75
Gas,l51,1.3318110730593606,0.05,250,0.75
Gas,l52,1.3318110730593606,0.05,250,0.75
Gas,l53,1.3318110730593606,0.05,250,0.75
Gas,l54,1.3318110730593606,0.05,250,0.75
Gas,l55,1.3318110730593606,0.05,250,0.75
Gas,l56,1.3318110730593606,0.05,250,0.75
Gas,l57,1.3318110730593606,0.05,250,0.75
Gas,l58,1.3318110730593606,0.05,250,0.75
Gas,l59,1.3318110730593606,0.05,250,0.75
Gas,l60,1.3318110730593606,0.05,250,0.75
Gas,l61,1.3318110730593606,0.05,250,0.75
Gas,l62,1.3318110730593606,0.05,250,0.75
Gas,l63,1.3318110730593606,0.05,250,0.75
Gas,l64,1.3318110730593606,0.05,250,0.75
