from,to,capacity
l2,l1,2000
l9,l1,2000
l3,l2,2000
l10,l2,2000
l4,l3,2000
l11,l3,2000
l5,l4,2000
l12,l4,2000
l6,l5,2000
l13,l5,2000
l7,l6,2000
l14,l6,2000
l8,l7,2000
l15,l7,2000
l16,l8,2000
l10,l9,2000
l17,l9,2000
l11,l10,2000
l18,l10,2000
l12,l11,2000
l19,l11,2000
l13,l12,2000
l20,l12,2000
l14,l13,2000
l21,l13,2000
l15,l14,2000
l22,l14,2000
l16,l15,2000
l23,l15,2000
l24,l16,2000
l18,l17,2000
l25,l17,2000
l19,l18,2000
l26,l18,2000
l20,l19,2000
l27,l19,2000
l21,l20,2000
l28,l20,2000
l22,l21,2000
l29,l21,2000
l23,l22,2000
l30,l22,2000
l24,l23,2000
l31,l23,2000
l32,l24,2000
l26,l25,2000
l33,l25,2000
l27,l26,2000
l34,l26,2000
l28,l27,2000
l35,l27,2000
l29,l28,2000
l36,l28,2000
l30,l29,2000
l37,l29,2000
l31,l30,2000
l38,l30,2000
l32,l31,2000
l39,l31,2000
l40,l32,2000
l34,l33,2000
l41,l33,2000
l35,l34,2000
l42,l34,2000
l36,l35,2000
l43,l35,2000
l37,l36,2000
l44,l36,2000
l38,l37,2000
l45,l37,2000
l39,l38,2000
l46,l38,2000
l40,l39,2000
l47,l39,2000
l48,l40,2000
l42,l41,2000
l49,l41,2000
l43,l42,2000
l50,l42,2000
l44,l43,2000
l51,l43,2000
l45,l44,2000
l52,l44,2000
l46,l45,2000
l53,l45,2000
l47,l46,2000
l54,l46,2000
l48,l47,2000
l55,l47,2000
l56,l48,2000
l50,l49,2000
l57,l49,2000
l51,l50,2000
l58,l50,2000
l52,l51,2000
l59,l51,2000
l53,l52,2000
l60,l52,2000
l54,l53,2000
l61,l53,2000
l55,l54,2000
l62,l54,2000
l56,l55,2000
l63,l55,2000
l64,l56,2000
l58,l57,2000
l59,l58,2000
l60,l59,2000
l61,l60,2000
l62,l61,2000
l63,l62,2000
l64,l63,2000
l1,l2,2000
l1,l9,2000
l2,l3,2000
l2,l10,2000
l3,l4,2000
l3,l11,2000
l4,l5,2000
l4,l12,2000
l5,l6,2000
l5,l13,2000
l6,l7,2000
l6,l14,2000
l7,l8,2000
l7,l15,2000
l8,l16,2000
l9,l10,2000
l9,l17,2000
l10,l11,2000
l10,l18,2000
l11,l12,2000
l11,l19,2000
l12,l13,2000
l12,l20,2000
l13,l14,2000
l13,l21,2000
l14,l15,2000
l14,l22,2000
l15,l16,2000
l15,l23,2000
l16,l24,2000
l17,l18,2000
l17,l25,2000
l18,l19,2000
l18,l26,2000
l19,l20,2000
l19,l27,2000
l20,l21,2000
l20,l28,2000
l21,l22,2000
l21,l29,2000
l22,l23,2000
l22,l30,2000
l23,l24,2000
l23,l31,2000
l24,l32,2000
l25,l26,2000
l25,l33,2000
l26,l27,2000
l26,l34,2000
l27,l28,2000
l27,l35,2000
l28,l29,2000
l28,l36,2000
l29,l30,2000
l29,l37,2000
l30,l31,2000
l30,l38,2000
l31,l32,2000
l31,l39,2000
l32,l40,2000
l33,l34,2000
l33,l41,2000
l34,l35,2000
l34,l42,2000
l35,l36,2000
l35,l43,2000
l36,l37,2000
l36,l44,2000
l37,l38,2000
l37,l45,2000
l38,l39,2000
l38,l46,2000
l39,l40,2000
l39,l47,2000
l40,l48,2000
l41,l42,2000
l41,l49,2000
l42,l43,2000
l42,l50,2000
l43,l44,2000
l43,l51,2000
l44,l45,2000
l44,l52,2000
l45,l46,2000
l45,l53,2000
l46,l47,2000
l46,l54,2000
l47,l48,2000
l47,l55,2000
l48,l56,2000
l49,l50,2000
l49,l57,2000
l50,l51,2000
l50,l58,2000
l51,l52,2000
l51,l59,2000
l52,l53,2000
l52,l60,2000
l53,l54,2000
l53,l61,2000
l54,l55,2000
l54,l62,2000
l55,l56,2000
l55,l63,2000
l56,l64,2000
l57,l58,2000
l58,l59,2000
l59,l60,2000
l60,l61,2000
l61,l62,2000
l62,l63,2000
l63,l64,2000
