from,to,capacity
l2,l1,2000
l5,l1,2000
l3,l2,2000
l6,l2,2000
l4,l3,2000
l7,l3,2000
l8,l4,2000
l6,l5,2000
l9,l5,2000
l7,l6,2000
l10,l6,2000
l8,l7,2000
l11,l7,2000
l12,l8,2000
l10,l9,2000
l13,l9,2000
l11,l10,2000
l14,l10,2000
l12,l11,2000
l15,l11,2000
l16,l12,2000
l14,l13,2000
l15,l14,2000
l16,l15,2000
l1,l2,2000
l1,l5,2000
l2,l3,2000
l2,l6,2000
l3,l4,2000
l3,l7,2000
l4,l8,2000
l5,l6,2000
l5,l9,2000
l6,l7,2000
l6,l10,2000
l7,l8,2000
l7,l11,2000
l8,l12,2000
l9,l10,2000
l9,l13,2000
l10,l11,2000
l10,l14,2000
l11,l12,2000
l11,l15,2000
l12,l16,2000
l13,l14,2000
l14,l15,2000
l15,l16,2000
