technology,location,investment_cost,variable_cost,unit_capacity,ramping_rate
Coal,CZE,33.75,0.15,400,0.4
Coal,GER,33.75,0.15,400,0.4
Coal,IRE,33.75,0.15,400,0.4
Coal,POL,33.75,0.15,400,0.4
Coal,SKO,33.75,0.15,400,0.4
Gas,AUS,23.33333333,0.05,250,0.75
Gas,BEL,23.33333333,0.05,250,0.75
Gas,BLK,23.33333333,0.05,250,0.75
Gas,BLT,23.33333333,0.05,250,0.75
Gas,CZE,23.33333333,0.05,250,0.75
Gas,DEN,23.33333333,0.05,250,0.75
Gas,FIN,23.33333333,0.05,250,0.75
Gas,FRA,23.33333333,0.05,250,0.75
Gas,GER,23.33333333,0.05,250,0.75
Gas,IRE,23.33333333,0.05,250,0.75
Gas,ITA,23.33333333,0.05,250,0.75
Gas,POL,23.33333333,0.05,250,0.75
Gas,POR,23.33333333,0.05,250,0.75
Gas,SKO,23.33333333,0.05,250,0.75
Gas,SPA,23.33333333,0.05,250,0.75
Gas,SWE,23.33333333,0.05,250,0.75
Gas,UKI,23.33333333,0.05,250,0.75
Lignite,BLK,38.75,0.1,400,0.5
Lignite,CZE,38.75,0.1,400,0.5
Lignite,GER,38.75,0.1,400,0.5
Lignite,POL,38.75,0.1,400,0.5
Lignite,SKO,38.75,0.1,400,0.5
Nuclear,BLK,68.66666667,0.01,1000,0.2
Nuclear,CZE,68.66666667,0.01,1000,0.2
Nuclear,FIN,68.66666667,0.01,1000,0.2
Nuclear,FRA,68.66666667,0.01,1000,0.2
Nuclear,SKO,68.66666667,0.01,1000,0.2
Nuclear,SPA,68.66666667,0.01,1000,0.2
Nuclear,SWE,68.66666667,0.01,1000,0.2
Nuclear,SWI,68.66666667,0.01,1000,0.2
Nuclear,UKI,68.66666667,0.01,1000,0.2
Oil,AUS,24.16666667,0.2,100,0.9
Oil,BEL,24.16666667,0.2,100,0.9
Oil,BLK,24.16666667,0.2,100,0.9
Oil,BLT,24.16666667,0.2,100,0.9
Oil,DEN,24.16666667,0.2,100,0.9
Oil,FRA,24.16666667,0.2,100,0.9
Oil,GER,24.16666667,0.2,100,0.9
Oil,IRE,24.16666667,0.2,100,0.9
Oil,SKO,24.16666667,0.2,100,0.9
Oil,UKI,24.16666667,0.2,100,0.9
SunPV,AUS,24,1.00E-04,50,1.0
SunPV,BEL,24,1.00E-04,50,1.0
SunPV,BLK,24,1.00E-04,50,1.0
SunPV,BLT,24,1.00E-04,50,1.0
SunPV,CZE,24,1.00E-04,50,1.0
SunPV,DEN,24,1.00E-04,50,1.0
SunPV,FIN,24,1.00E-04,50,1.0
SunPV,FRA,24,1.00E-04,50,1.0
SunPV,GER,24,1.00E-04,50,1.0
SunPV,IRE,24,1.00E-04,50,1.0
SunPV,ITA,24,1.00E-04,50,1.0
SunPV,NED,24,1.00E-04,50,1.0
SunPV,NOR,24,1.00E-04,50,1.0
SunPV,POL,24,1.00E-04,50,1.0
SunPV,POR,24,1.00E-04,50,1.0
SunPV,SKO,24,1.00E-04,50,1.0
SunPV,SPA,24,1.00E-04,50,1.0
SunPV,SWE,24,1.00E-04,50,1.0
SunPV,SWI,24,1.00E-04,50,1.0
SunPV,UKI,24,1.00E-04,50,1.0
WindOff,AUS,88.33333333,0.005,100,1.0
WindOff,BEL,88.33333333,0.005,100,1.0
WindOff,BLK,88.33333333,0.005,100,1.0
WindOff,BLT,88.33333333,0.005,100,1.0
WindOff,CZE,88.33333333,0.005,100,1.0
WindOff,DEN,88.33333333,0.005,100,1.0
WindOff,FIN,88.33333333,0.005,100,1.0
WindOff,FRA,88.33333333,0.005,100,1.0
WindOff,GER,88.33333333,0.005,100,1.0
WindOff,IRE,88.33333333,0.005,100,1.0
WindOff,ITA,88.33333333,0.005,100,1.0
WindOff,NED,88.33333333,0.005,100,1.0
WindOff,NOR,88.33333333,0.005,100,1.0
WindOff,POL,88.33333333,0.005,100,1.0
WindOff,POR,88.33333333,0.005,100,1.0
WindOff,SKO,88.33333333,0.005,100,1.0
WindOff,SPA,88.33333333,0.005,100,1.0
WindOff,SWE,88.33333333,0.005,100,1.0
WindOff,SWI,88.33333333,0.005,100,1.0
WindOff,UKI,88.33333333,0.005,100,1.0
WindOn,AUS,48.4,0.0025,100,1.0
WindOn,BEL,48.4,0.0025,100,1.0
WindOn,BLK,48.4,0.0025,100,1.0
WindOn,BLT,48.4,0.0025,100,1.0
WindOn,CZE,48.4,0.0025,100,1.0
WindOn,DEN,48.4,0.0025,100,1.0
WindOn,FIN,48.4,0.0025,100,1.0
WindOn,FRA,48.4,0.0025,100,1.0
WindOn,GER,48.4,0.0025,100,1.0
WindOn,IRE,48.4,0.0025,100,1.0
WindOn,ITA,48.4,0.0025,100,1.0
WindOn,NED,48.4,0.0025,100,1.0
WindOn,NOR,48.4,0.0025,100,1.0
WindOn,POL,48.4,0.0025,100,1.0
WindOn,POR,48.4,0.0025,100,1.0
WindOn,SKO,48.4,0.0025,100,1.0
WindOn,SPA,48.4,0.0025,100,1.0
WindOn,SWE,48.4,0.0025,100,1.0
WindOn,SWI,48.4,0.0025,100,1.0
WindOn,UKI,48.4,0.0025,100,1.0
