from,to,time_step,flow
AUS,BLK,1,1686.0
AUS,BLK,2,1446.1738695725762
AUS,BLK,3,1686.0
AUS,BLK,4,1686.0
AUS,BLK,5,-273.79440745577267
AUS,BLK,6,1686.0
AUS,BLK,7,1686.0
AUS,BLK,8,1575.1127628208887
AUS,BLK,9,1686.0
AUS,BLK,10,1686.0
AUS,CZE,1,900.0
AUS,CZE,2,900.0
AUS,CZE,3,412.55764404868023
AUS,CZE,4,900.0
AUS,CZE,5,900.0
AUS,CZE,6,-91.82243665841997
AUS,CZE,7,900.0
AUS,CZE,8,-46.530257798619914
AUS,CZE,9,532.7932960955877
AUS,CZE,10,900.0
AUS,GER,1,6920.158008086757
AUS,GER,2,7500.0
AUS,GER,3,7500.0
AUS,GER,4,7500.0
AUS,GER,5,7500.0
AUS,GER,6,7500.0
AUS,GER,7,7500.0
AUS,GER,8,7500.0
AUS,GER,9,7500.0
AUS,GER,10,7500.0
AUS,ITA,1,1229.0
AUS,ITA,2,1229.0
AUS,ITA,3,1229.0
AUS,ITA,4,1229.0
AUS,ITA,5,1229.0
AUS,ITA,6,1229.0
AUS,ITA,7,-878.234913763783
AUS,ITA,8,1229.0
AUS,ITA,9,1229.0
AUS,ITA,10,1229.0
AUS,SWI,1,-1200.0
AUS,SWI,2,-1200.0
AUS,SWI,3,-644.4638055199139
AUS,SWI,4,-841.037135421413
AUS,SWI,5,1200.0
AUS,SWI,6,140.75533482149694
AUS,SWI,7,1200.0
AUS,SWI,8,-150.71641125138058
AUS,SWI,9,-1200.0
AUS,SWI,10,-1200.0
BEL,FRA,1,883.6187132092737
BEL,FRA,2,1335.366570692554
BEL,FRA,3,2800.0
BEL,FRA,4,2800.0
BEL,FRA,5,2800.0
BEL,FRA,6,2441.7078529021437
BEL,FRA,7,2402.510641840694
BEL,FRA,8,2653.3727926340143
BEL,FRA,9,2800.0
BEL,FRA,10,2800.0
BEL,GER,1,2380.0
BEL,GER,2,2380.0
BEL,GER,3,1310.2784721367234
BEL,GER,4,2380.0
BEL,GER,5,1909.0158711004642
BEL,GER,6,2380.0
BEL,GER,7,2380.0
BEL,GER,8,2380.0
BEL,GER,9,2380.0
BEL,GER,10,2380.0
BEL,NED,1,2400.0
BEL,NED,2,2400.0
BEL,NED,3,2400.0
BEL,NED,4,2400.0
BEL,NED,5,2400.0
BEL,NED,6,2400.0
BEL,NED,7,2400.0
BEL,NED,8,2400.0
BEL,NED,9,2400.0
BEL,NED,10,2400.0
BEL,UKI,1,1000.0
BEL,UKI,2,1000.0
BEL,UKI,3,1000.0
BEL,UKI,4,1000.0
BEL,UKI,5,1000.0
BEL,UKI,6,1000.0
BEL,UKI,7,1000.0
BEL,UKI,8,1000.0
BEL,UKI,9,833.7741871032831
BEL,UKI,10,1000.0
BLK,ITA,1,-1741.0
BLK,ITA,2,-1741.0
BLK,ITA,3,-525.233683023489
BLK,ITA,4,1010.1864224450001
BLK,ITA,5,-153.8895631191608
BLK,ITA,6,-127.89492959696008
BLK,ITA,7,500.94502535572974
BLK,ITA,8,1625.0
BLK,ITA,9,1625.0
BLK,ITA,10,1625.0
BLK,SKO,1,-2600.0
BLK,SKO,2,-2600.0
BLK,SKO,3,-2600.0
BLK,SKO,4,-2600.0
BLK,SKO,5,-2600.0
BLK,SKO,6,-535.804226586029
BLK,SKO,7,-1197.794950400319
BLK,SKO,8,-2600.0
BLK,SKO,9,-2600.0
BLK,SKO,10,-2600.0
BLT,FIN,1,213.40110469379488
BLT,FIN,2,-127.76913670910562
BLT,FIN,3,-245.82804722389574
BLT,FIN,4,-321.8659895893552
BLT,FIN,5,-1016.0
BLT,FIN,6,-99.75515794288549
BLT,FIN,7,-96.75366021793525
BLT,FIN,8,52.32072678802433
BLT,FIN,9,-1016.0
BLT,FIN,10,56.32272375462435
BLT,POL,1,-700.0
BLT,POL,2,-700.0
BLT,POL,3,-700.0
BLT,POL,4,-700.0
BLT,POL,5,700.0
BLT,POL,6,-102.40994107558356
BLT,POL,7,-146.02751193992378
BLT,POL,8,-322.63951487149336
BLT,POL,9,-662.3631003749305
BLT,POL,10,-700.0
BLT,SWE,1,-687.0035312276636
BLT,SWE,2,700.0
BLT,SWE,3,700.0
BLT,SWE,4,142.14876129883612
BLT,SWE,5,-545.6404265999589
BLT,SWE,6,-700.0
BLT,SWE,7,-700.0
BLT,SWE,8,-700.0
BLT,SWE,9,671.9071361431015
BLT,SWE,10,-241.6722222160488
CZE,GER,1,-1960.7995768292903
CZE,GER,2,-1340.94961531528
CZE,GER,3,-2000.0
CZE,GER,4,2600.0
CZE,GER,5,1094.88883593335
CZE,GER,6,-2000.0
CZE,GER,7,220.51597270799766
CZE,GER,8,-2000.0
CZE,GER,9,904.5609704654075
CZE,GER,10,-1101.2909588526454
CZE,SKO,1,-1082.0802165680298
CZE,SKO,2,-1600.0
CZE,SKO,3,-1322.4645312989996
CZE,SKO,4,-1420.9352144417999
CZE,SKO,5,-1600.0
CZE,SKO,6,-1600.0
CZE,SKO,7,-566.7359768232377
CZE,SKO,8,-1424.79680985917
CZE,SKO,9,-1600.0
CZE,SKO,10,-1600.0
DEN,NED,1,-660.0
DEN,NED,2,-660.0
DEN,NED,3,-660.0
DEN,NED,4,660.0
DEN,NED,5,660.0
DEN,NED,6,660.0
DEN,NED,7,660.0
DEN,NED,8,577.7608619332914
DEN,NED,9,660.0
DEN,NED,10,-660.0
DEN,NOR,1,-1538.0
DEN,NOR,2,-1538.0
DEN,NOR,3,-27.115478527185587
DEN,NOR,4,1538.0
DEN,NOR,5,1538.0
DEN,NOR,6,1538.0
DEN,NOR,7,1538.0
DEN,NOR,8,1538.0
DEN,NOR,9,1538.0
DEN,NOR,10,1538.0
DEN,SWE,1,-1913.0
DEN,SWE,2,-1913.0
DEN,SWE,3,-1913.0
DEN,SWE,4,-1913.0
DEN,SWE,5,-1913.0
DEN,SWE,6,-1913.0
DEN,SWE,7,-510.08762240818623
DEN,SWE,8,-1810.7791084929895
DEN,SWE,9,-831.9762865670955
DEN,SWE,10,-1913.0
DEN,UKI,1,-1319.0
DEN,UKI,2,-1319.0
DEN,UKI,3,-1319.0
DEN,UKI,4,1244.5243339402932
DEN,UKI,5,1308.553295597354
DEN,UKI,6,1281.541077398284
DEN,UKI,7,-243.42650835230006
DEN,UKI,8,1007.4443823815218
DEN,UKI,9,-163.64735545915119
DEN,UKI,10,1319.0
FIN,SWE,1,3200.0
FIN,SWE,2,3200.0
FIN,SWE,3,3200.0
FIN,SWE,4,3200.0
FIN,SWE,5,2475.8510123398355
FIN,SWE,6,3200.0
FIN,SWE,7,3200.0
FIN,SWE,8,3200.0
FIN,SWE,9,2182.7047345361652
FIN,SWE,10,3200.0
FRA,IRE,1,700.0
FRA,IRE,2,700.0
FRA,IRE,3,700.0
FRA,IRE,4,-700.0
FRA,IRE,5,700.0
FRA,IRE,6,700.0
FRA,IRE,7,700.0
FRA,IRE,8,700.0
FRA,IRE,9,457.0454632237502
FRA,IRE,10,700.0
FRA,ITA,1,4028.0
FRA,ITA,2,4028.0
FRA,ITA,3,4028.0
FRA,ITA,4,4028.0
FRA,ITA,5,4028.0
FRA,ITA,6,2980.50087221873
FRA,ITA,7,4028.0
FRA,ITA,8,4028.0
FRA,ITA,9,4028.0
FRA,ITA,10,4028.0
FRA,UKI,1,2953.142398871667
FRA,UKI,2,-2343.5229774209174
FRA,UKI,3,-5400.0
FRA,UKI,4,1851.6926052311592
FRA,UKI,5,1871.3549271541633
FRA,UKI,6,2394.8644818024336
FRA,UKI,7,1056.1784757222676
FRA,UKI,8,608.8002662125209
FRA,UKI,9,5400.0
FRA,UKI,10,1147.1680030734688
GER,DEN,1,-3719.9052071382685
GER,DEN,2,-4227.0
GER,DEN,3,-1067.5764588426591
GER,DEN,4,4241.0
GER,DEN,5,4241.0
GER,DEN,6,4241.0
GER,DEN,7,4241.0
GER,DEN,8,4241.0
GER,DEN,9,4241.0
GER,DEN,10,1867.6146914518758
GER,FRA,1,-5180.0
GER,FRA,2,4800.0
GER,FRA,3,-5180.0
GER,FRA,4,-3017.0832934943514
GER,FRA,5,-5180.0
GER,FRA,6,-5180.0
GER,FRA,7,-5180.0
GER,FRA,8,-5180.0
GER,FRA,9,-1829.5929822621342
GER,FRA,10,-5180.0
GER,NED,1,5000.0
GER,NED,2,5000.0
GER,NED,3,5000.0
GER,NED,4,5000.0
GER,NED,5,5000.0
GER,NED,6,5000.0
GER,NED,7,5000.0
GER,NED,8,5000.0
GER,NED,9,5000.0
GER,NED,10,5000.0
GER,NOR,1,-1400.0
GER,NOR,2,1400.0
GER,NOR,3,1400.0
GER,NOR,4,1400.0
GER,NOR,5,1400.0
GER,NOR,6,1400.0
GER,NOR,7,1400.0
GER,NOR,8,1400.0
GER,NOR,9,1400.0
GER,NOR,10,1400.0
GER,SWE,1,1315.0
GER,SWE,2,-533.1347492289574
GER,SWE,3,-528.4752947877987
GER,SWE,4,941.4810809232745
GER,SWE,5,1315.0
GER,SWE,6,1315.0
GER,SWE,7,895.3169932502192
GER,SWE,8,1315.0
GER,SWE,9,1315.0
GER,SWE,10,1315.0
GER,UKI,1,1400.0
GER,UKI,2,-1400.0
GER,UKI,3,1400.0
GER,UKI,4,-1400.0
GER,UKI,5,1400.0
GER,UKI,6,-958.6959182700604
GER,UKI,7,1400.0
GER,UKI,8,1288.6836291897844
GER,UKI,9,-1386.7972337402452
GER,UKI,10,-1400.0
NED,NOR,1,407.0
NED,NOR,2,700.0
NED,NOR,3,-700.0
NED,NOR,4,-700.0
NED,NOR,5,-700.0
NED,NOR,6,-700.0
NED,NOR,7,-700.0
NED,NOR,8,-700.0
NED,NOR,9,-700.0
NED,NOR,10,-700.0
NED,UKI,1,1000.0
NED,UKI,2,-100.0
NED,UKI,3,1000.0
NED,UKI,4,-100.0
NED,UKI,5,-100.0
NED,UKI,6,-100.0
NED,UKI,7,-100.0
NED,UKI,8,-100.0
NED,UKI,9,-100.0
NED,UKI,10,1000.0
NOR,UKI,1,1464.0
NOR,UKI,2,-1464.0
NOR,UKI,3,-1464.0
NOR,UKI,4,-1464.0
NOR,UKI,5,-1464.0
NOR,UKI,6,-1464.0
NOR,UKI,7,-1464.0
NOR,UKI,8,-1464.0
NOR,UKI,9,-1464.0
NOR,UKI,10,-1464.0
POL,CZE,1,-1000.0
POL,CZE,2,-1000.0
POL,CZE,3,-1000.0
POL,CZE,4,1200.0
POL,CZE,5,1200.0
POL,CZE,6,-1000.0
POL,CZE,7,1200.0
POL,CZE,8,-1000.0
POL,CZE,9,1200.0
POL,CZE,10,-709.3762544963456
POL,GER,1,-2000.0
POL,GER,2,3000.0
POL,GER,3,-2000.0
POL,GER,4,-2000.0
POL,GER,5,-2000.0
POL,GER,6,-199.1855252063806
POL,GER,7,-2000.0
POL,GER,8,-922.2212933377491
POL,GER,9,-2000.0
POL,GER,10,-2000.0
POL,SKO,1,-858.0
POL,SKO,2,-453.0318825259501
POL,SKO,3,-858.0
POL,SKO,4,-858.0
POL,SKO,5,-858.0
POL,SKO,6,-858.0
POL,SKO,7,-726.848215960459
POL,SKO,8,-858.0
POL,SKO,9,-616.1842889096197
POL,SKO,10,-858.0
POL,SWE,1,600.0
POL,SWE,2,600.0
POL,SWE,3,600.0
POL,SWE,4,-600.0
POL,SWE,5,395.28518293320474
POL,SWE,6,-28.04900485809867
POL,SWE,7,-600.0
POL,SWE,8,600.0
POL,SWE,9,-600.0
POL,SWE,10,600.0
SPA,FRA,1,4528.0
SPA,FRA,2,-1546.7489392036514
SPA,FRA,3,1771.714061528659
SPA,FRA,4,2359.3202163401475
SPA,FRA,5,3717.8830519371004
SPA,FRA,6,4265.40135888606
SPA,FRA,7,4249.0965633847845
SPA,FRA,8,3896.3259082336444
SPA,FRA,9,4456.02313053629
SPA,FRA,10,3853.169909213695
SPA,POR,2,3634.214135100492
SPA,POR,3,3352.9962852448116
SPA,POR,4,2982.709436680392
SPA,POR,5,2698.48926102554
SPA,POR,6,2528.35746573918
SPA,POR,7,2434.2845906984903
SPA,POR,8,2401.2590069076114
SPA,POR,9,2139.05588711335
SPA,POR,10,2331.2047382602914
SWE,NOR,1,3995.0
SWE,NOR,2,3995.0
SWE,NOR,3,3995.0
SWE,NOR,4,3995.0
SWE,NOR,5,3995.0
SWE,NOR,6,3995.0
SWE,NOR,7,3995.0
SWE,NOR,8,3995.0
SWE,NOR,9,3995.0
SWE,NOR,10,3995.0
SWI,FRA,1,-3347.0
SWI,FRA,2,-3167.8442413617595
SWI,FRA,3,-3347.0
SWI,FRA,4,-3347.0
SWI,FRA,5,-3347.0
SWI,FRA,6,-3347.0
SWI,FRA,7,-3347.0
SWI,FRA,8,-3347.0
SWI,FRA,9,-3347.0
SWI,FRA,10,-2310.80488846949
SWI,GER,1,-3612.5935616708593
SWI,GER,2,-3800.0
SWI,GER,3,-2808.5056415024037
SWI,GER,4,-3800.0
SWI,GER,5,-1501.8715982096378
SWI,GER,6,-3800.0
SWI,GER,7,-3800.0
SWI,GER,8,-2069.829607052187
SWI,GER,9,-2507.0024830902103
SWI,GER,10,-3800.0
SWI,ITA,1,-1751.0
SWI,ITA,2,-1751.0
SWI,ITA,3,-1751.0
SWI,ITA,4,-895.2302086835134
SWI,ITA,5,-810.9496028414519
SWI,ITA,6,385.64940035453674
SWI,ITA,7,1657.3490675737303
SWI,ITA,8,-1196.644045125704
SWI,ITA,9,-1751.0
SWI,ITA,10,-1751.0
UKI,IRE,1,-700.0
UKI,IRE,2,-700.0
UKI,IRE,3,-700.0
UKI,IRE,4,1750.0
UKI,IRE,5,1429.43573633993
UKI,IRE,6,1355.2725798502702
UKI,IRE,7,1376.6778252407798
UKI,IRE,8,1451.1484108116401
UKI,IRE,9,1750.0
UKI,IRE,10,-700.0
