location,time_step,loss_of_load
BEL,1,5336.38128679075
BLK,1,2640.1318828508884
BLT,1,337.00353122767024
CZE,1,1842.87979339732
DEN,1,3314.63540769944
FRA,1,4049.270585002625
GER,1,921.6893082919887
IRE,1,2986.73901474019
ITA,1,389.74863546850065
NED,1,13170.0435941473
NOR,1,20469.4319179434
POL,1,134.9945278092464
SWI,1,5512.59356167086
UKI,1,1003.1423988716779
AUS,2,3079.826130427431
BEL,2,4884.63342930747
BLK,2,1181.2670075422902
BLT,2,450.6137160042008
CZE,2,1740.9496153152795
DEN,2,3235.599658154
FRA,2,1558.3943187904492
IRE,2,2726.94876441313
NED,2,8941.592130335895
NOR,2,18742.6086660647
SWI,2,5520.84424136176
UKI,2,1279.4543866941785
BLK,3,2680.1256560518896
CZE,3,1635.0221753476799
DEN,3,3101.53901968453
FRA,3,5045.714061528772
GER,3,2333.495805049187
IRE,3,37.42627187616017
NED,3,5445.937681902178
NOR,3,15302.5113076062
POR,3,3352.99628524481
SPA,3,708.1309845489886
NED,4,8628.652037767617
NOR,4,12153.6653688691
POL,4,2217.571496809953
POR,4,2168.6797836598794
NED,5,3980.939440012251
NOR,5,12026.3307735612
POL,5,37.19063855841068
NED,6,2921.9652274442997
NOR,6,12173.561399385999
NED,7,3055.4343011657
NOR,7,12400.376147278199
FRA,8,82.23913806683595
NED,8,4751.043582963601
NOR,8,11282.8997806175
BLT,9,580.3588914605089
FIN,9,617.2952654638402
GER,9,12.38526944084515
NED,9,4927.106472547701
NOR,9,12834.109612545599
UKI,9,309.37506112762776
BLK,10,289.6018835124887
BLT,10,141.4414557258399
NED,10,12813.137404418309
NOR,10,13117.6280474109
POL,10,1040.7335952827816
SWI,10,4663.80488846949
