location,technology,time_step,production
AUS,Gas,1,11250.0
AUS,Gas,2,11250.0
AUS,Gas,3,11250.0
AUS,Gas,4,11250.0
AUS,Gas,5,11250.0
AUS,Gas,6,11250.0
AUS,Gas,7,11250.0
AUS,Gas,8,11250.0
AUS,Gas,9,11250.0
AUS,Gas,10,11250.0
BLK,Gas,1,18000.00000000001
BLK,Gas,2,18000.00000000001
BLK,Gas,3,18000.00000000001
BLK,Gas,4,18000.00000000001
BLK,Gas,5,18000.00000000001
BLK,Gas,6,17382.19916433782
BLK,Gas,7,16679.35141990969
BLK,Gas,8,18000.00000000001
BLK,Gas,9,18000.00000000001
BLK,Gas,10,18000.00000000001
FIN,Gas,1,3500.0
FIN,Gas,2,3500.0
FIN,Gas,3,3500.0
FIN,Gas,4,3500.0
FIN,Gas,5,3500.0
FIN,Gas,6,3500.0
FIN,Gas,7,3500.0
FIN,Gas,8,3500.0
FIN,Gas,9,3500.0
FIN,Gas,10,3500.0
FRA,Gas,1,45500.00000000003
FRA,Gas,2,45500.00000000003
FRA,Gas,3,45500.00000000003
FRA,Gas,4,45500.00000000003
FRA,Gas,5,45500.00000000003
FRA,Gas,6,45500.00000000003
FRA,Gas,7,44992.49934951867
FRA,Gas,8,45500.00000000003
FRA,Gas,9,45500.00000000003
FRA,Gas,10,45500.00000000003
FRA,Nuclear,6,1.166426955023781e-10
FRA,Nuclear,7,1.166426955023781e-10
FRA,Nuclear,8,1.166426955023781e-10
GER,Gas,1,22000.0
GER,Gas,2,22000.0
GER,Gas,3,22000.0
GER,Gas,4,22000.0
GER,Gas,5,22000.0
GER,Gas,6,20751.232786726192
GER,Gas,7,22000.0
GER,Gas,8,22000.0
GER,Gas,9,22000.0
GER,Gas,10,22000.0
ITA,Gas,1,12250.0
ITA,Gas,2,12250.0
ITA,Gas,3,12250.0
ITA,Gas,4,12250.0
ITA,Gas,5,12250.0
ITA,Gas,6,12250.0
ITA,Gas,7,12250.0
ITA,Gas,8,12250.0
ITA,Gas,9,12250.0
ITA,Gas,10,12250.0
POL,Gas,1,8000.0
POL,Gas,2,8000.0
POL,Gas,3,8000.0
POL,Gas,4,8000.0
POL,Gas,5,8000.0
POL,Gas,6,8000.0
POL,Gas,7,8000.000000000007
POL,Gas,8,8000.0
POL,Gas,9,8000.0
POL,Gas,10,8000.0
SKO,Gas,1,6250.000000000004
SKO,Gas,2,6250.000000000004
SKO,Gas,3,6250.000000000004
SKO,Gas,4,6250.000000000004
SKO,Gas,5,6250.000000000004
SKO,Gas,6,6250.000000000004
SKO,Gas,7,6250.000000000004
SKO,Gas,8,6250.000000000004
SKO,Gas,9,6250.000000000004
SKO,Gas,10,6250.000000000004
SPA,Gas,1,16750.00000000001
SPA,Gas,2,16750.00000000001
SPA,Gas,3,16750.00000000001
SPA,Gas,4,16750.00000000001
SPA,Gas,5,16750.00000000001
SPA,Gas,6,16750.00000000001
SPA,Gas,7,16750.00000000001
SPA,Gas,8,16750.00000000001
SPA,Gas,9,16750.00000000001
SPA,Gas,10,16750.00000000001
SWE,Gas,1,18500.0
SWE,Gas,2,18500.0
SWE,Gas,3,18500.0
SWE,Gas,4,18498.629842222123
SWE,Gas,5,18455.495768673096
SWE,Gas,6,18500.0
SWE,Gas,7,18500.0
SWE,Gas,8,18500.0
SWE,Gas,9,18500.0
SWE,Gas,10,18500.0
UKI,Gas,1,26250.000000000022
UKI,Gas,2,26250.000000000022
UKI,Gas,3,26250.000000000022
UKI,Gas,4,26250.000000000022
UKI,Gas,5,26250.000000000022
UKI,Gas,6,26231.4370610804
UKI,Gas,7,25705.0741421292
UKI,Gas,8,26250.000000000022
UKI,Gas,9,26250.000000000022
UKI,Gas,10,26250.000000000022
