hour,mean,std
0,0.0,0.0
1,0.0,0.0
2,7.945205479452055e-06,0.00012361809256850064
3,7.78082191780822e-05,0.0006296554175550301
4,0.0007430136986301371,0.004421173222946715
5,0.006783835616438356,0.018613728044344816
6,0.03161369863013699,0.053424650335585085
7,0.08773630136986302,0.10450318491298748
8,0.1722927397260274,0.15162833371270615
9,0.2669760273972603,0.1820999684816066
10,0.33790315068493154,0.20218686394720725
11,0.3768327397260274,0.21424748804055993
12,0.3929915068493151,0.22008019172478538
13,0.37807342465753424,0.21931868016557293
14,0.3372964383561644,0.20853887419521858
15,0.2727449315068493,0.19033565546960013
16,0.1974523287671233,0.16446868059986833
17,0.11737232876712328,0.12371748861844448
18,0.052203698630136984,0.07487030947951737
19,0.014944794520547944,0.031747213528375194
20,0.0019486301369863012,0.006908278343606721
21,5.2876712328767125e-05,0.0004805562592125992
22,0.0,0.0
23,0.0,0.0
